PARAMETER ASSIGNMENT,O-MSB,O-LSB,WORD,SUBF,SUPF,ONE LOGIC,ZERO LOGIC
ENGINE PANEL MODE #2,12,9,213,3,0,CODED,CODED
SPEED REG #2,4,1,213,0,0,CODED,CODED
LIGHT OFF REF/STATUS #1,12,11,85,1,0,CODED,CODED
STALL MODE STATUS #1,10,9,85,1,0,CODED,CODED
ENGINE PANEL MODE #1,12,9,85,3,0,CODED,CODED
SPEED REG #1,4,1,85,0,0,CODED,CODED
LOB DU FORMAT,6,1,51,2,0,CODED,CODED
LIB DU FORMAT,12,7,51,3,0,CODED,CODED
CU DU FORMAT,6,1,51,3,0,CODED,CODED
ROB DU FORMAT,12,7,51,1,0,CODED,CODED
RIB DU FORMAT,6,1,51,1,0,CODED,CODED
CL DU FORMAT,12,7,51,2,0,CODED,CODED
ENG A/P TYPE CODE #1,12,10,51,4,1,CODED,CODED
N1 TRIM #1,7,5,51,4,1,CODED,CODED
ENGINE RATING #1,4,1,51,4,1,CODED,CODED
RANGE SELECT F/O,9,1,50,1,0,CODED,CODED
RANGE SELECT CAPT,9,1,50,2,0,CODED,CODED
ENG A/P TYPE CODE #2,12,10,51,4,2,CODED,CODED
N1 TRIM #2,7,5,51,4,2,CODED,CODED
ENGINE RATING #2,4,1,51,4,2,CODED,CODED
ENG POSITION CODE #1,2,1,256,4,8,CODED,CODED
DISPLAYED APP SOURCE - F/O,4,2,127,2,0,CODED,CODED
DISPLAYED APP SOURCE - F/O,4,2,127,4,0,CODED,CODED
DISPLAYED APP SOURCE - CAPT,4,2,127,1,0,CODED,CODED
DISPLAYED APP SOURCE - CAPT,4,2,127,3,0,CODED,CODED
ENG POSITION CODE #2,2,1,256,4,9,CODED,CODED
COWL TAI CONFIG CODE #1,12,11,119,3,0,CODED,CODED
WING TAI CONFIG CODE #1,10,8,119,3,0,CODED,CODED
ECS CONFIG CODE #1,7,4,119,3,0,CODED,CODED
N1 SET SELECT,12,10,50,2,0,CODED,CODED
COWL TAI CONFIG CODE #2,12,11,119,4,0,CODED,CODED
WING TAI CONFIG CODE #2,10,8,119,4,0,CODED,CODED
ECS CONFIG CODE #2,7,4,119,4,0,CODED,CODED
REF SPEED SELECT,12,10,50,1,0,CODED,CODED
ALTITUDE SELECT,2,1,225,0,0,CODED,CODED
SENSITIVITY LEVEL CONTROL,3,1,46,0,0,CODED,CODED
DOWN ADVISORY,9,7,46,0,0,CODED,CODED
UP ADVISORY,6,4,46,0,0,CODED,CODED
VERTICAL CONTROL,8,6,225,0,0,CODED,CODED
COMBINED CONTROL,10,8,63,0,0,CODED,CODED
COMBINED CONTROL,5,3,225,0,0,CODED,CODED
ADV ALT RATE,7,1,63,0,0,CODED,CODED
RI FIELD,12,9,225,0,0,CODED,CODED
TCAS SENSITIVITY LEVEL,12,10,46,0,0,CODED,CODED
DME DISPLAY BIT,12,12,119,2,2,CODED,CODED
SPARE SHUNT DISCRETE #B18,1,1,9,0,0,CODED,CODED
SPARE SERIES DISCRETE #B26,1,1,16,0,0,CODED,CODED
SPARE SERIES DISCRETE #B48,2,2,48,2,0,CODED,CODED
SPARE SERIES DISCRETE #B48,2,2,48,4,0,CODED,CODED
SPARE SERIES DISCRETE #B49,1,1,48,2,0,CODED,CODED
SPARE SERIES DISCRETE #B49,1,1,48,4,0,CODED,CODED
SPARE SERIES DISCRETE #B52,1,1,201,0,0,CODED,CODED
SPARE SERIES DISCRETE #B53,2,2,201,0,0,CODED,CODED
SPARE SERIES DISCRETE #B54,1,1,200,0,0,CODED,CODED
SPARE SERIES DISCRETE #B55,2,2,200,0,0,CODED,CODED
SPARE SERIES DISCRETE #B56,1,1,198,0,0,CODED,CODED
SPARE SERIES DISCRETE #B57,1,1,195,0,0,CODED,CODED
SPARE SERIES DISCRETE #B58,2,2,195,0,0,CODED,CODED
SPARE SERIES DISCRETE #B59,1,1,193,0,0,CODED,CODED
SPARE SERIES DISCRETE #B60,2,2,193,0,0,CODED,CODED
SPARE SERIES DISCRETE #B61,3,3,119,3,0,CODED,CODED
SPARE SERIES DISCRETE #B63,2,2,183,4,0,CODED,CODED
SPARE SERIES DISCRETE #B64,1,1,189,1,0,CODED,CODED
SPARE SERIES DISCRETE #B65,1,1,182,2,0,CODED,CODED
SPARE SERIES DISCRETE #B66,2,2,182,2,0,CODED,CODED
SPARE SERIES DISCRETE #B67,3,3,182,2,0,CODED,CODED
SPARE SERIES DISCRETE #B68,2,2,171,0,0,CODED,CODED
SPARE SERIES DISCRETE #B69,1,1,43,0,0,CODED,CODED
SPARE SERIES DISCRETE #B69,1,1,171,0,0,CODED,CODED
SPARE SERIES DISCRETE #B70,1,1,192,3,0,CODED,CODED
A/C TYPE LSB,6,6,256,4,1,CODED,CODED
A/C TYPE LSB+1,7,7,256,4,1,CODED,CODED
A/C TYPE LSB+2,8,8,256,4,1,CODED,CODED
A/C TYPE LSB+3,9,9,256,4,1,CODED,CODED
A/C TYPE LSB+4,10,10,256,4,1,CODED,CODED
A/C TYPE LSB+5,11,11,256,4,1,CODED,CODED
FLEET IDENT LSB,1,1,256,3,15,CODED,CODED
FLEET IDENT LSB + 1,2,2,256,3,15,CODED,CODED
FLEET IDENT LSB + 2,3,3,256,3,15,CODED,CODED
FLEET IDENT MSB,4,4,256,3,15,CODED,CODED
A/C NUMBER LSB,1,1,256,3,16,CODED,CODED
A/C NUMBER LSB + 1,2,2,256,3,16,CODED,CODED
A/C NUMBER LSB + 2,3,3,256,3,16,CODED,CODED
A/C NUMBER LSB + 3,4,4,256,3,16,CODED,CODED
A/C NUMBER LSB + 4,5,5,256,3,16,CODED,CODED
A/C NUMBER LSB + 5,6,6,256,3,16,CODED,CODED
A/C NUMBER LSB + 6,7,7,256,3,16,CODED,CODED
A/C NUMBER MSB,8,8,256,3,16,CODED,CODED
SPARE SHUNT DISCRETE #B111,1,1,184,0,0,CODED,CODED
SPARE SHUNT DISCRETE #B112,2,2,184,0,0,CODED,CODED
CONFIG SHUNT DISCRETE #B115,1,1,183,2,0,CODED,CODED
SPARE SHUNT DISCRETE #B116,2,2,183,2,0,CODED,CODED
SPARE SHUNT DISCRETE #B117,1,1,183,4,0,CODED,CODED
SPARE SHUNT DISCRETE #B118,1,1,125,0,0,CODED,CODED
SPARE SHUNT DISCRETE #B118,1,1,253,0,0,CODED,CODED
A/C TYPE MSB,12,12,256,4,1,CODED,CODED
MOTOR PWR APP FROM ASM 2,2,2,147,0,0,YES,NO
MOTOR PWR APP FROM ASM 1,1,1,147,0,0,YES,NO
A/T DISENGAGE,2,2,160,0,0,ENGAGED,NOT ENGAGE
A/T DISCONNECT SWITCH,12,12,160,0,0,ENGAGE,NOT ENGAGE
ARM,11,11,160,0,0,ARM,NOT ARM
GA,10,10,160,0,0,GA,NOT GA
MCP SPEED,9,9,160,0,0,MCP SPD,NOT MCP SPD
A/T LIMIT,8,8,160,0,0,THR LIMIT,NOT THR LIMT
FMC SPD,7,7,160,0,0,FMC SPD,NOT FMC SPD
N1 - A/T MODE,6,6,160,0,0,N1,NOT N1
RETARD,5,5,160,0,0,RETARD,NOT RETARD
NOISE ABATEMENT MODE,1,1,255,0,0,NOISE ABATEMENT,NOT
A/T ENGAGE,4,4,160,0,0,ENGAGE,NOT ENGA
MIN SPEED,3,3,160,0,0,MIN SPEED,NOT MIN SPD
ENGINE-OUT ENGAGED,3,3,48,2,0,ENGAGED,NOT ENGAGED
ENGINE-OUT ENGAGED,3,3,48,4,0,ENGAGED,NOT ENGAGED
TAKEOFF BUMP,12,12,188,0,0,BUMP,NORMAL
PMC-R ON,2,2,129,0,0,ON,OFF
PMC-L ON,1,1,129,0,0,ON,OFF
FMC VALID,1,1,52,0,0,FMC VALID,NOT
ASSUMED TEMP DERATE,11,11,188,0,0,DERATE,NORMAL
FIXED DERATE LVL 2,10,10,188,0,0,DERATE,NORMAL
FIXED DERATE LVL 1,9,9,188,0,0,DERATE,NORMAL
ENG OUT CLIMB GRAD (RESERVED),2,2,164,0,0,OPTIONAL,STANDARD
CUTBACK ENGAGED,1,1,164,0,0,ACTIVE,NOT ACTIVE
CUTBACK ARMED,2,2,187,0,0,ON,OFF
REDUCED (DERATE),1,1,176,0,0,ENABLED,DISABLED
AVM ALERT ENGINE 2,2,2,207,0,0,ALERT,NORMAL
AVM ALERT ENGINE 1,1,1,207,0,0,ALERT,NORMAL
AVM SYSTEM FAULT,1,1,113,0,0,FAULT,NORMAL
TERRAIN AHEAD,1,1,61,0,0,TRUE,FALSE
CAUTION WINDSHEAR,12,12,64,0,0,TRUE,FALSE
WINDSHEAR,11,11,64,0,0,TRUE,FALSE
TERRAIN AHEAD PULL UP,1,1,191,0,0,TRUE,FALSE
CAUTION TERRAIN,6,6,20,0,0,TRUE,FALSE
TERRAIN PULL UP,10,10,64,0,0,TRUE,FALSE
MINIMUMS,9,9,64,0,0,TRUE,FALSE
GLIDESLOPE,8,8,64,0,0,TRUE,FALSE
TOO LOW TERRAIN,7,7,64,0,0,TRUE,FALSE
TOO LOW FLAP,6,6,64,0,0,TRUE,FALSE
TOO LOW GEAR,5,5,64,0,0,TRUE,FALSE
DON'T SINK,4,4,64,0,0,TRUE,FALSE
TERRAIN,3,3,64,0,0,TRUE,FALSE
PULL UP,2,2,64,0,0,TRUE,FALSE
SINK RATE,1,1,64,0,0,TRUE,FALSE
TERRAIN DISP SEL F/O,10,10,20,0,0,TRUE,FALSE
TERRAIN DISP SEL CAPT,9,9,20,0,0,TRUE,FALSE
TERRAIN AWARE NOT AVAIL,10,10,61,0,0,TRUE,FALSE
TERRAIN AWARENESS INOP,7,7,61,0,0,TRUE,FALSE
TERRAIN CAUTION,8,8,20,0,0,TRUE,FALSE
TERRAIN WARNING,7,7,20,0,0,TRUE,FALSE
WINDSHEAR CAUTION,1,1,231,0,0,TRUE,FALSE
WINDSHEAR INOP,1,1,6,0,0,TRUE,FALSE
WINDSHEAR WARNING,6,6,61,0,0,TRUE,FALSE
GPWS INOP,5,5,61,0,0,TRUE,FALSE
GPWS WARNING,4,4,61,0,0,TRUE,FALSE
GPWS ALERT,3,3,61,0,0,TRUE,FALSE
GLIDESLOPE CANCEL,2,2,61,0,0,TRUE,FALSE
GPWC FAILURE,1,1,103,0,0,TRUE,FALSE
CAUTION OBSTACLE OR AHEAD,9,9,61,0,0,TRUE,FALSE
OBSTACLE WARNING,8,8,61,0,0,TRUE,FALSE
TERRAIN OVERRIDE,1,1,57,0,0,OVERRIDE,NORMAL
VMO/MMO ALTERNATE #4,2,2,47,0,0,YES,NO
VMO/MMO ALTERNATE #3,1,1,47,0,0,YES,NO
VMO/MMO ALTERNATE #2,2,2,67,0,0,YES,NO
VMO/MMO ALTERNATE #1,1,1,67,0,0,YES,NO
AOA FAIL,1,1,228,0,0,FAIL,NOT FAIL
OVERSPEED WARNING OUTPUT,1,1,172,0,0,ON,OFF
PRIMARY AOA HEAT,2,2,73,0,0,ON,OFF
TAT  HEAT,1,1,73,0,0,ON,OFF
RT STATIC HEAT,2,2,65,0,0,ON,OFF
LT PITOT HEAT,1,1,65,0,0,ON,OFF
ADR FAULT,2,2,75,0,0,FAIL,GOOD
GROUND EFFECT INOP,1,1,28,0,0,INOP,NORMAL
ADR AIR/GND LOGIC INVALID,1,1,39,0,0,FAIL,PASS
IR TO ADR DATA INVALID,2,2,148,0,0,FAIL,PASS
BARO 2 DATA INVALID,1,1,148,0,0,FAIL,PASS
BARO 1 DATA INVALID,2,2,84,0,0,FAIL,PASS
STATIC ADM DATA INVALID,1,1,84,0,0,FAIL,PASS
PITOT ADM DATA INVALID,2,2,83,0,0,FAIL,PASS
NO IR TO ADR DATA,1,1,83,0,0,FAIL,PASS
NO BARO 2 DATA,2,2,82,0,0,FAIL,PASS
NO BARO 1 DATA,1,1,82,0,0,FAIL,PASS
NO STATIC ADM DATA,2,2,163,0,0,FAIL,PASS
NO PITOT ADM DATA,1,1,163,0,0,FAIL,PASS
BARO 3 SIGNAL FAIL,1,1,70,0,0,FAIL,PASS
AOA SIGNAL FAIL,2,2,156,0,0,FAIL,PASS
TAT PROBE SIGNAL FAIL,1,1,156,0,0,FAIL,PASS
TEST/TUNE INHIBIT LOC,5,5,20,1,0,INHIBIT,NOT INHIBIT
TEST/TUNE INHIBIT LOC,5,5,20,3,0,INHIBIT,NOT INHIBIT
TEST/TUNE INHIBIT G/S,4,4,20,1,0,INHIBIT,NOT INHIBIT
TEST/TUNE INHIBIT G/S,4,4,20,3,0,INHIBIT,NOT INHIBIT
MLS DIRECT ANT SEL CMD ACK,1,1,79,2,0,CMD ACK,NOT ACK
GNSS OUTPUT CORRECTION - L (RESERVED),2,2,20,1,0,CORRECTED,UNCORRECTED
GNSS OUTPUT CORRECTION - L (RESERVED),2,2,20,3,0,CORRECTED,UNCORRECTED
SELECTED LANDING MODE STATUS,1,1,20,1,0,NOT FAILED,MODE FAIL
SELECTED LANDING MODE STATUS,1,1,20,3,0,NOT FAILED,MODE FAIL
STBY MODE - L,2,2,52,1,0,STANDBY,ACTIVE
LOCALIZER RECEIVER FAIL-L,4,4,53,2,0,FAILURE,OK
G/S RECEIVER FAILURE-L,1,1,53,1,0,FAILURE,OK
TUNING INPUT BUS ACTIVITY,3,3,20,1,0,INACTIVE,OK
TUNING INPUT BUS ACTIVITY,3,3,20,3,0,INACTIVE,OK
LOCALIZER ANTENNA FAIL-L,3,3,53,2,0,FAILURE,OK
G/S ANTENNA FAILURE-L,2,2,53,2,0,FAILURE,OK
ILS FAILURE - L,1,1,53,2,0,FAILURE,OK
MCP SPEED,2,2,158,0,0,MCP SPD ENG,NOT ENGA
L NAV ENGAGE,1,1,158,0,0,L NAV ENGA,NOT ENGA
V/S ARM,12,12,191,0,0,V/S ARM,NOT V/S ARM
VOR/LOC ARM,11,11,191,0,0,VOR/LOC ARM,NOT VOR/LOC ARM
G/S ARM,1,1,252,0,0,G/S ARM,NOT G/S ARM
FLARE ARM,1,1,124,0,0,FLARE ARM,NOT FLARE ARM
CWS ROLL,12,12,157,0,0,CWS ROLL,NOT ENGA
CWS PITCH,11,11,157,0,0,CWS PITCH,NOT ENGA
A/P OFF,10,10,157,0,0,F/D ONLY ON,ON
SINGLE CHANNEL,9,9,157,0,0,SINGLE CHL,NOT ENGA
TO/GA,8,8,157,0,0,TO/GA,NOT ENGA
V/S ENGAGE,7,7,157,0,0,V/S ENGAGE,NOT ENGA
ALT HOLD,6,6,157,0,0,ALT HLD ENG,NOT ENGA
ALT ACQUIRE,5,5,157,0,0,ALT ACQ ENG,NOT ENGA
HDG SELECT,4,4,157,0,0,HDG SEL ENG,NOT ENGA
VOR/LOC ENGAGE,3,3,157,0,0,VOR/LOC ENG,NOT ENGA
G/S ENGAGE,2,2,157,0,0,G/S ENGAGE,NOT ENGA
FLARE ENGAGE,1,1,157,0,0,FLARE ENGA,NOT ENGA
TEST DISPLAY CMD FCC-R,11,11,155,1,0,TEST,NO TEST
LOCAL LIMITED MASTER,1,1,24,0,0,SET,NOT SET
G/S DEV WARN,1,1,159,0,0,WARN,NOT WARN
LOC DEV WARN,12,12,158,0,0,WARN,NOT WARN
A/T SPEED WARN,11,11,158,0,0,WARN,NOT WARN
ILS DEV WARN,10,10,158,0,0,WARN,NOT WARN
VISUAL ALTITUDE ALERT,9,9,158,0,0,VIS ALRT ON,VIS ALRT OFF
CWS B,8,8,158,0,0,SELECTED,NOT SELECTED
CWS A,7,7,158,0,0,SELECTED,NOT SELECTED
CMD B,6,6,158,0,0,SELECTED,NOT SELECTED
CMD A,5,5,158,0,0,SELECTED,NOT SELECTED
F/D B ON,4,4,158,0,0,F/D SW ON,F/D SW OFF
F/D A ON,3,3,158,0,0,F/D SW ON,F/D SW OFF
V NAV SPD,10,10,191,0,0,V NAV SPD,NOT V NAV SPD
V NAV PATH,9,9,191,0,0,V NAV PATH,NOT V NAV PATH
CWS WARN,1,1,153,0,0,CWS WARN,NOT CWS WARN
IAS DISPLAY,2,2,150,0,0,DISPLAY IAS,DISP MACH
VERT SPD PB LITE,1,1,150,0,0,ON,OFF
V NAV PB LITE,12,12,159,0,0,ON,OFF
LEVEL CHANGE PB LITE,11,11,159,0,0,ON,OFF
ALT HOLD PB LITE,10,10,159,0,0,ON,OFF
N1 PB LITE,9,9,159,0,0,ON,OFF
SPD PB LITE,8,8,159,0,0,ON,OFF
APPROACH PB LITE,7,7,159,0,0,ON,OFF
HDG SEL PB LITE,6,6,159,0,0,ON,OFF
VOR/LOC PB LITE,5,5,159,0,0,ON,OFF
LNAV PB LITE,4,4,159,0,0,ON,OFF
B MASTER LIGHT,3,3,159,0,0,ON,OFF
A MASTER LIGHT,2,2,159,0,0,ON,OFF
GPS APPROACH,12,12,127,0,0,GPS APPROACH,NOT
IRNAV CAPABLE,11,11,127,0,0,IRNAV CAPABLE,NOT
BACKCOURSE ENGAGE,10,10,127,0,0,ENGAGED,NOT ENGAGED
BACKCOURSE ARM,9,9,127,0,0,ARMED,NOT ARMED
GP ENGAGE,8,8,127,0,0,GP ENGAGED,NOT ENGAGED
GP ARM,7,7,127,0,0,GP ARMED,NOT ARMED
FAC ENGAGE,6,6,127,0,0,FAC ENGAGED,NOT ENGAGED
FAC ARM,5,5,127,0,0,FAC ARM,NOT ARM
ROLLOUT ENGAGED,1,1,122,0,0,R/O ENGAGED ANNUN,NO ANNUN
ROLLOUT ARMED,1,1,123,0,0,R/O ARMED ANNUN,NO ANNUN
ACTIVE ALTITUDE REF,8,8,191,0,0,FMC ALT,MCP ALT
ALT ACQ,7,7,191,0,0,ALT ACQ ENGA,ENGA NOT
LOC ENGAGED,6,6,191,0,0,LOC ENGA,ENGA NOT
TOGA SW PRESSED,2,2,191,0,0,PRESSED,NOT PRESSED
ROLL MODE FAIL (ANNUN),1,1,251,0,0,ANNUN,NO ANNUN
PITCH MODE FAIL (ANNUN),1,1,250,0,0,ANNUN,NO ANNUN
LOC BEAM ANOM (ANNUN),12,12,255,0,0,ANNUN,NO ANNUN
G/S BEAM ANOM (ANNUN),11,11,255,0,0,ANNUN,NO ANNUN
NO GLS AUTOLAND (ADV),10,10,255,0,0,ADVISORY,NO ADVISORY
NO GLS LAND3 (ADV),9,9,255,0,0,ADVISORY,NO ADVISORY
NO ILS AUTOLAND (ADV),8,8,255,0,0,ADVISORY,NO ADVISORY
NO ILS LAND3 (ADV),7,7,255,0,0,ADVISORY,NO ADVISORY
NO AUTOLAND (ADV),6,6,255,0,0,ADVISORY,NO ADVISORY
NO LAND 3 (ADV),5,5,255,0,0,ADVISORY,NO ADVISORY
LAND 3 (PFD),4,4,255,0,0,LAND 3 ANNUN,NO ANNUN
LAND 2 (PFD),3,3,255,0,0,LAND 2 ANNUN,NO ANNUN
NO AUTOLAND (PFD),2,2,255,0,0,NO-AUTOLAND ANNUN,NO ANNUN
TEST/TUNE INHIBIT LOC,5,5,20,2,0,INHIBIT,NOT INHIBIT
TEST/TUNE INHIBIT LOC,5,5,20,4,0,INHIBIT,NOT INHIBIT
TEST/TUNE INHIBIT G/S,4,4,20,2,0,INHIBIT,NOT INHIBIT
TEST/TUNE INHIBIT G/S,4,4,20,4,0,INHIBIT,NOT INHIBIT
MLS DIRECT ANT SEL CMD ACK,1,1,79,4,0,CMD ACK,NOT ACK
GNSS OUTPUT CORRECTION - R (RESERVED),2,2,20,2,0,CORRECTED,UNCORRECTED
GNSS OUTPUT CORRECTION - R (RESERVED),2,2,20,4,0,CORRECTED,UNCORRECTED
SELECTED LANDING MODE STATUS,1,1,20,2,0,NOT FAILED,MODE FAIL
SELECTED LANDING MODE STATUS,1,1,20,4,0,NOT FAILED,MODE FAIL
STBY MODE - R,2,2,52,3,0,STANDBY,ACTIVE
LOCALIZER RECEIVER FAIL-R,4,4,53,4,0,FAILURE,OK
G/S RECEIVER FAILURE-R,1,1,53,3,0,FAILURE,OK
TUNING INPUT BUS ACTIVITY,3,3,20,2,0,INACTIVE,OK
TUNING INPUT BUS ACTIVITY,3,3,20,4,0,INACTIVE,OK
LOCALIZER ANTENNA FAIL-R,3,3,53,4,0,FAILURE,OK
G/S ANTENNA FAILURE-R,2,2,53,4,0,FAILURE,OK
ILS FAILURE - R,1,1,53,4,0,FAILURE,OK
ILS MODE - VOR-R,1,1,56,4,0,ILS,VOR
MB FAILURE - R,3,3,48,3,0,FAILURE,OK
INPUT DATA - R,2,2,48,3,0,INACTIVE,OK
VOR FAILURE - R,1,1,48,3,0,FAILURE,OK
ILS MODE - VOR-L,1,1,56,2,0,ILS,VOR
INNER MARKER (3000 HZ),1,1,167,0,0,PRESENT,NOT PRESENT
MIDDLE MARKER (1300 HZ),2,2,166,0,0,PRESENT,NOT PRESENT
OUTER MARKER (400 HZ),1,1,166,0,0,PRESENT,NOT PRESENT
MB FAILURE - L,3,3,48,1,0,FAILURE,OK
INPUT DATA - L,2,2,48,1,0,INACTIVE,OK
VOR FAILURE - L,1,1,48,1,0,FAILURE,OK
STICK SHAKER - LT,2,2,72,0,0,ACTIVATED,NOT ACTIVATE
AUTO SLAT ENABLE - LT,2,2,79,2,0,ENABLE,NOT ENABLE
YAW DAMPER ENGAGE,2,2,102,0,0,ENGAGE,NOT ENGAGE
YAW DAMPER ENGAGE,2,2,230,0,0,ENGAGE,NOT ENGAGE
SOLENOID ENGAGE,2,2,104,0,0,ENGAGE,NOT ENGAGE
AUTO SLAT CMD - LT,1,1,33,0,0,COMMAND,NOT COMMAND
AUTO SLAT VALID - LT,2,2,141,0,0,VALID,NOT VALID
ELEV FEEL SYS CMD,1,1,187,0,0,COMMAND,NOT CMD
L NAV MODE OPER,1,1,158,0,0,L NAV ENGA,NOT ENGA
TEST DISPLAY CMD FCC-L,12,12,155,1,0,TEST,NO TEST
LOCAL LIMITED MASTER,2,2,24,0,0,SET,NOT SET
DME R ANTENNA FAILURE,1,1,216,0,0,FAILURE,OK
DME RT FAILURE,1,1,180,0,0,FAILURE,OK
FAULT DISPATCH LVL A #1 (EEC),2,2,115,0,0,MMEL DISP,NORMAL
EEC HARD ALTN MODE SEL #1,10,10,85,2,0,HARD ALTN,NORMAL MODE
EEC SOFT ALTN MODE SEL #1,9,9,85,2,0,SOFT ALTN,NORMAL MODE
APPROACH IDLE SEL #1,1,1,115,0,0,APPR IDLE,MIN IDLE
A/C ON GND SEL EEC #1,5,5,85,0,0,GND,AIR
EEC CHANNEL IN CTRL #1,1,1,111,0,0,IN CONTROL,NOT IN CTRL
RT T/R INTRANSIT,2,2,217,0,0,INTRANSIT,NOT INTRANSIT
RT T/R DEPLOYED,1,1,217,0,0,DEPLOYED,STOWED
LT T/R INTRANSIT,2,2,218,0,0,INTRANSIT,NOT INTRANSIT
LT T/R DEPLOYED,1,1,218,0,0,DEPLOYED,STOWED
BRAKE TEMP OVERHEAT LT,2,2,9,0,0,ON,OFF
